name,price,location,make,latitude,longitude
2008 Cadillac Escalade esv awd,8500.0,Louisburg,Cadillac,36.0578016581704,-78.2586001103108
2016 Infiniti QX60,6500.0,Sanford,Infiniti,35.4559152239958,-79.1467087569432
2008 Nissan Sentra SE-R,3600.0,Raleigh,Nissan,35.8479988375497,-78.6316964754928
"2015 FORD F-150 XLT With lift, tires and many accessories and mods",15000.0,Willow Spring,FORD,35.5469988976406,-78.6716963780421
2022 Chevy Blazer 2LT,21750.0,Efland,Chevy,36.1278520511571,-79.1764956867949
2008 Dodge Ram 1500 V6 Runs but needs TLC,1500.0,Youngsville,Dodge,36.0249007027024,-78.474399507215
2018 Lexus GX 460,39999.0,Durham,Lexus,35.9780997911252,-78.8438994163172
2022 Honda Ridgeline RTL-E AWD 11k miles,24950.0,Raleigh,Honda,35.8192535449695,-78.6290035738559
1979 Jeep CJ5,19999.0,Raleigh,Jeep,35.920617227374,-78.7411394357661
1992 mustang gt,15000.0,Stem,mustang,36.2431013657259,-78.6817981969275
1992 Mercedes-Benz 190 e,9000.0,Raleigh,Mercedes-Benz,35.8304382540876,-78.6707721971187
1999 Ford F-350 Super Duty - 10' box truck,7500.0,Efland,Ford,36.0912010869202,-79.1884006038614
Mercedes E320 2001,3450.0,Wake Forest,E320,35.9908022654426,-78.4957989079042
"2013 Nissan Rogue S ($4,300) Newer Transmission",4300.0,Durham,Nissan,36.0217992821575,-78.9477972910495
2005 Chevy Silverado 2500 W/LLY Duramax Engine,7000.0,Oxford,Chevy,36.3312990509568,-78.6134007871797
2006 Honda Civic,3500.0,Raleigh,Honda,35.8949017356143,-78.7051032552432
2023 Nissan Altima,23500.0,Cary,Nissan,35.8071985129606,-78.8869978746225
2,500.0,Sanford,,35.46980085616,-79.1717006030077
2013 ford escape,2100.0,Willow Spring,ford,35.5469988976406,-78.6716963780421
04 Acura TL,5200.0,Wendell,Acura,35.7980019673914,-78.3926011875976
2013 Mazda 3i Daily Driver,4000.0,Carrboro,Mazda,35.9164988067428,-79.1170249594946
2015 Ford Transit 250,18500.0,Raleigh,Ford,35.7082017192076,-78.615402128758
2007 jeep Patriot,2000.0,Durham,jeep,35.9780997911252,-78.8438994163172
Low Mileage 2021 Subaru WRX Clean Title Only 38k Miles,22950.0,Raleigh,Mileage,35.8887011863558,-78.6393007713494
2017 GMC Sierra 1500 SLT Crew Cab,31500.0,Nashville,GMC,35.9842986215104,-77.9595023902815
2012 VW Jetta Automatic  Runs like 2.5L Leather 153k 30 MPG,5000.0,Cary,VW,35.8071985129606,-78.8869978746225
2002 GMC 2500 sierra SLT,10000.0,Wake Forest,GMC,35.9815014415547,-78.5391975960941
2017 Chevy Silverado Pick up Truck LTZ,18450.0,Raleigh,Chevy,35.8262992069758,-78.6491023603502
2017 Type R,26000.0,Zebulon,Type,35.8318007477244,-78.308999769799
2013 Hyundai Sonata BRAND NEW ENGINE,6800.0,Raleigh,Hyundai,35.8013996071164,-78.6876996622171
"2023 Toyota Camry LE – Low Mileage, Clean Title",24000.0,Wake Forest,Toyota,36.0277488759018,-78.5510142776602
2011 Acura TSX 3.5L V6 Tech Package,5500.0,Elm City,Acura,35.8109995149733,-77.8560010023435
05 Lexus 430,5000.0,Durham,Lexus,35.9631009019651,-78.9315035172724
2009 LEXUS RX 350,7900.0,Creedmoor,LEXUS,36.1224015036523,-78.6861016829265
2010 Infiniti g37 hard top convertible,6800.0,Willow Spring,Infiniti,35.5469988976406,-78.6716963780421
2020 Ford Transit High top 250 series,13900.0,Garner,Ford,35.6385203110409,-78.5291232791828
2008 Hyundai Elantra (price reduction),600.0,Raleigh,Hyundai,35.7666989912139,-78.6007991534343
2014 TOYOTA COROLLA LE PREMIUM SEDAN 4D,10500.0,Raleigh,TOYOTA,35.7076006864806,-78.6563015750456
1998 Toyota Tacoma Limited,17335.0,Raleigh,Toyota,35.7928006565275,-78.6791007116282
2013 HONDA CR-V LX SPORT UTILITY 4DOOR,8900.0,Raleigh,HONDA,35.7076006864806,-78.6563015750456
Used 2006 Jeep Commander Sport Utility 4D,1250.0,Raleigh,2006,35.7666989912139,-78.6007991534343
1999 Jeep Wrangler Sport,17999.0,Garner,Jeep,35.6813007777699,-78.5975000624501
2011 Nissan Rogue SL AWD Full Equipped,5500.0,Raleigh,Nissan,35.8333992999727,-78.5799010908158
2003 Lexus GX470 (Toyota Landcruiser / Prada),8200.0,Holly Springs,Lexus,35.6263008401448,-78.8457981984502
2020 Jaguar i-pace SE EV400 black PERFECT!  AWD 19K miles,34000.0,Raleigh,Jaguar,35.7644994062385,-78.7112023909721
2012 Mercedes Benz GL 450,5000.0,Durham,Mercedes,35.9780997911252,-78.8438994163172
1994 Corvette 6speed 55k miles,15000.0,Clayton,Corvette,35.6348012419929,-78.4509993379054
BMW M6 (LOW MILES & ROD BEARINGS DONE),18500.0,Raleigh,M6,35.7666989912139,-78.6007991534343
2011 Kia Forte KOUP 6 SPEED!,2995.0,Wendell,Kia,35.7980019673914,-78.3926011875976
2011 Honda Accord Coupe V6,6900.0,Wendell,Honda,35.7980019673914,-78.3926011875976
2005 Ford F350 4x4 6.0 DIESEL WORK TRUCK,10500.0,Wendell,Ford,35.7980019673914,-78.3926011875976
2010 Nissan Altima,2000.0,Cary,Nissan,35.7750996984057,-78.763501405551
1991 Chevrolet Pickup Truck,2500.0,Raleigh,Chevrolet,35.8818044933761,-78.6520364772189
2015 VW Tiguan SEL 2.0 TSI 4motion,6000.0,Macon,VW,36.4164617787471,-78.1199196867114
2006 Lexus Rx330,5500.0,Raleigh,Lexus,35.8173994535445,-78.5939007415813
2018 Ford EcoSport · SE Sport Utility 4D,10500.0,Cary,Ford,35.7682012865527,-78.7630980432633
Range Rover Sport,9500.0,Cary,Rover,35.7299013497814,-78.7735035297801
2007 Dodge Ram1500 4x4 hemi 5.7,8699.0,Louisburg,Dodge,36.0578016581704,-78.2586001103108
2010 Mazda CX-9,4500.0,Durham,Mazda,36.0217992821575,-78.9477972910495
Ford Mustang,3000.0,Battleboro,Mustang,36.0067012712988,-77.7073969497329
2006 Dodge Grand Caravan Handicap Wheelchair Accessible Van,5900.0,,Dodge,35.9731001614052,-78.4508016674661
Honda CRV for sale,6000.0,Durham,CRV,36.0217992821575,-78.9477972910495
BMW 335d,6950.0,Lumberton,335d,34.6266447592578,-79.007297812155
"2014 Chevrolet Silverado 1500 Crew Cab, LTZ",19250.0,Rougemont,Chevrolet,36.2393003637132,-78.901903371662
2008 Hyundai Santa Fe( Drive Now),2300.0,Durham,Hyundai,35.9111983741804,-78.9178018045604
"1979 Sierra, 2500 HD Long Bed, $8000obo",8000.0,Durham,"Sierra,",36.0314473184692,-78.9800181456147
2009 Toyota Camry Hybrid LXE,6000.0,Durham,Toyota,36.0917986819004,-78.9298980895306
2018 RANGE ROVER SPORT,20000.0,Raleigh,RANGE,35.9457007466857,-78.6432965790124
2000 F150 190000mi,7500.0,Sanford,F150,35.4582442974329,-79.1659796194236
2013 Ford Fusion Titanium !!Only 54k Miles!!,7800.0,Durham,Ford,35.9799338290273,-78.8753112544758
For Sale BMW 328i 2011 e90-Great conition and Well Maintaned,6000.0,Mebane,Sale,36.0979012553761,-79.2470989840538
2018 Audi Q5,15500.0,Raleigh,Audi,35.7644994062385,-78.7112023909721
Chrysler Pacifica,12000.0,Selma,Pacifica,35.5721993003425,-78.2707989547263
07 Subaru forester Manual,2800.0,Willow Spring,Subaru,35.5469988976406,-78.6716963780421
2011 Toyota Camry,4500.0,Durham,Toyota,36.0917986819004,-78.9298980895306
2007 hummer h3,5500.0,Creedmoor,hummer,36.1224015036523,-78.6861016829265
Ford F150 4dr Lariat Supercrew,24999.0,Cary,F150,35.8071985129606,-78.8869978746225
2019 Toyota Camry SE,15950.0,Raleigh,Toyota,35.8262992069758,-78.6491023603502
2018 Dodge Grand Caravan Clean,9450.0,Raleigh,Dodge,35.8262992069758,-78.6491023603502
2022 Honda HRV EXL Loaded,15950.0,Raleigh,Honda,35.8262992069758,-78.6491023603502
2 fords,1.0,Wake Forest,fords,35.9815014415547,-78.5391975960941
2007 GMC Sierra 4 Door 8 cylinder 155K mi.  Posi-traction,11990.0,Fuquay Varina,GMC,35.5799989748072,-78.7908016985719
"Subaru Crosstrek 2019 For Sale By Owner only 51,470 Miles!",20600.0,Cary,Crosstrek,35.7940262132512,-78.8757277947928
2004 Mercedes Benz E 500 E-Class Sedan 4dr RWD,5000.0,Sanford,Mercedes,35.46980085616,-79.1717006030077
"2016 Jeep Compass Latitude Sport Utility 4D SUV, North Durham",8575.0,Durham,Jeep,36.0917986819004,-78.9298980895306
2007 Toyota Tundra,12799.0,Zebulon,Toyota,35.8322992210061,-78.320201667651
Chevrolet,3000.0,Clayton,,35.6348012419929,-78.4509993379054
