name,price,location,make,latitude,longitude
2016 Infiniti Qx60,6500.0,Sanford,INFINITI,35.4559152239958,-79.1467087569432
2008 Nissan Sentra Se-R,3600.0,Raleigh,NISSAN,35.8479988375497,-78.6316964754928
"2015 Ford F-150 Xlt With Lift, Tires And Many Accessories And Mods",15000.0,Willow Spring,FORD,35.5469988976406,-78.6716963780421
2022 Chevy Blazer 2Lt,21750.0,Efland,CHEVROLET,36.1278520511571,-79.1764956867949
2008 Dodge Ram 1500 Runs But Needs Tlc,1500.0,Youngsville,DODGE,36.0249007027024,-78.474399507215
2018 Lexus Gx 460,39999.0,Durham,LEXUS,35.9780997911252,-78.8438994163172
2022 Honda Ridgeline Rtl-E 11K,24950.0,Raleigh,HONDA,35.8192535449695,-78.6290035738559
1979 Jeep Cj5,19999.0,Raleigh,JEEP,35.920617227374,-78.7411394357661
1992 Mustang Gt,15000.0,Stem,MUSTANG,36.2431013657259,-78.6817981969275
1992 Mercedes-Benz 190 E,9000.0,Raleigh,MERCEDES-BENZ,35.8304382540876,-78.6707721971187
1999 Ford F-350 Super Duty - 10' Box Truck,7500.0,Efland,FORD,36.0912010869202,-79.1884006038614
Mercedes E320 2001,3450.0,Wake Forest,MERCEDES,35.9908022654426,-78.4957989079042
"2013 Nissan Rogue S ($4,300) Newer",4300.0,Durham,NISSAN,36.0217992821575,-78.9477972910495
2005 Chevy Silverado 2500 W/Lly Duramax Engine,7000.0,Oxford,CHEVROLET,36.3312990509568,-78.6134007871797
2006 Honda Civic,3500.0,Raleigh,HONDA,35.8949017356143,-78.7051032552432
2023 Nissan Altima,23500.0,Cary,NISSAN,35.8071985129606,-78.8869978746225
2,500.0,Sanford,UNKNOWN,35.46980085616,-79.1717006030077
2013 Ford Escape,2100.0,Willow Spring,FORD,35.5469988976406,-78.6716963780421
04 Acura Tl,5200.0,Wendell,04,35.7980019673914,-78.3926011875976
2013 Mazda 3I Daily Driver,4000.0,Carrboro,MAZDA,35.9164988067428,-79.1170249594946
2015 Ford Transit 250,18500.0,Raleigh,FORD,35.7082017192076,-78.615402128758
2007 Jeep Patriot,2000.0,Durham,JEEP,35.9780997911252,-78.8438994163172
Low Mileage 2021 Subaru Wrx Only 38K,22950.0,Raleigh,LOW,35.8887011863558,-78.6393007713494
2017 Gmc Sierra 1500 Slt Crew Cab,31500.0,Nashville,GMC,35.9842986215104,-77.9595023902815
2012 Vw Jetta Runs Like 2.5L Leather 153K 30,5000.0,Cary,VW,35.8071985129606,-78.8869978746225
2002 Gmc 2500 Sierra Slt,10000.0,Wake Forest,GMC,35.9815014415547,-78.5391975960941
2017 Chevy Silverado Pick Up Truck Ltz,18450.0,Raleigh,CHEVROLET,35.8262992069758,-78.6491023603502
2017 Type R,26000.0,Zebulon,TYPE,35.8318007477244,-78.308999769799
2013 Hyundai Sonata Brand New Engine,6800.0,Raleigh,HYUNDAI,35.8013996071164,-78.6876996622171
2023 Toyota Camry Le – Low Mileage,24000.0,Wake Forest,TOYOTA,36.0277488759018,-78.5510142776602
2011 Acura Tsx 3.5L Tech Package,5500.0,Elm City,ACURA,35.8109995149733,-77.8560010023435
05 Lexus 430,5000.0,Durham,05,35.9631009019651,-78.9315035172724
2009 Lexus Rx 350,7900.0,Creedmoor,LEXUS,36.1224015036523,-78.6861016829265
2010 Infiniti G37 Hard Top Convertible,6800.0,Willow Spring,INFINITI,35.5469988976406,-78.6716963780421
2020 Ford Transit High Top 250 Series,13900.0,Garner,FORD,35.6385203110409,-78.5291232791828
2008 Hyundai Elantra (Price Reduction),600.0,Raleigh,HYUNDAI,35.7666989912139,-78.6007991534343
2014 Toyota Corolla Le Premium Sedan 4D,10500.0,Raleigh,TOYOTA,35.7076006864806,-78.6563015750456
1998 Toyota Tacoma Limited,17335.0,Raleigh,TOYOTA,35.7928006565275,-78.6791007116282
2013 Honda Cr-V Lx Sport Utility 4Door,8900.0,Raleigh,HONDA,35.7076006864806,-78.6563015750456
Used 2006 Jeep Commander Sport Utility 4D,1250.0,Raleigh,USED,35.7666989912139,-78.6007991534343
1999 Jeep Wrangler Sport,17999.0,Garner,JEEP,35.6813007777699,-78.5975000624501
